Object_ID;class;height_cm;weight_kg;body fat_%;diastolic;systolic;gripforce;sit and bend forward_cm;sit-ups counts;broad jump_cm;age;gender
1;Common-C;172.3;75.24;21.3;80;130;54.9;18.4;60;217;27;1
2;Excellent-A;165;55.8;15.7;77;126;36.4;16.3;53;229;25;1
3;Common-C;179.6;78;20.1;92;152;44.8;12;49;181;31;1
4;Good-B;174.5;71.1;18.4;76;147;41.4;15.2;53;219;32;1
5;Good-B;173.8;67.7;17.1;70;127;43.5;27.1;45;217;28;1
6;Good-B;165.4;55.4;22;64;119;23.8;21;27;153;36;0
7;Poor-D;164.5;63.7;32.2;72;135;22.7;0.8;18;146;42;0
8;Good-B;174.9;77.2;36.9;84;137;45.9;12.3;42;234;33;1
9;Common-C;166.8;67.5;27.6;85;165;40.4;18.6;34;148;54;1
10;Good-B;185;84.6;14.4;81;156;57.9;12.1;55;213;28;1
11;Excellent-A;169.2;65.4;19.3;63;110;43.5;16;68;211;42;1
12;Poor-D;153;49;20.9;69;106;21.5;30;0;90;57;0
13;Common-C;156;53.9;35.5;69;116;23.1;13.1;28;144;27;0
14;Common-C;175.7;67.9;11.3;71;103;52.5;19.2;55;232;22;1
15;Common-C;181;84.4;20.4;80;120;48.9;7.2;54;213;24;1
16;Excellent-A;159;63.1;30.9;93;144;34.1;19;30;155;45;0
17;Common-C;164.2;66.6;30.2;82;120;25.7;22.9;39;178;25;0
18;Excellent-A;179.9;71.5;9.7;64;135;59.6;17.8;61;239;26;1
19;Good-B;169.2;70.6;21;63;129;41.3;15.1;53;225;26;1
20;Good-B;162.7;47.2;18.9;78;133;25.4;20.5;36;137;21;0
21;Common-C;161.7;63.36;31.3;89;128;25;10.7;39;160;25;0
22;Excellent-A;155.9;62.7;30.2;76;143;36.8;29.1;25;122;59;0
23;Poor-D;166.7;67.3;23.2;70;111;26.1;19.7;62;215;38;1
24;Good-B;170;63.3;12.9;65;115;44.5;11.6;49;196;44;1
25;Common-C;164.1;59.4;29.6;91;126;24.6;27.5;32;169;23;0
26;Common-C;169;70.7;30.5;96;146;39.3;4;43;131;62;1
27;Poor-D;158.3;53.5;29.2;70;117;25.9;8.1;32;151;47;0
28;Poor-D;175.8;84.5;31.4;83;125;33.8;3.7;24;211;48;1
29;Common-C;176;81.3;24.5;81;139;46.2;8.1;54;232;36;1
30;Excellent-A;159.8;57.1;24.4;63;103;30.8;24.4;30;143;50;0
31;Common-C;170.9;70.7;15.7;80;127;36.4;26.4;38;246;25;1
32;Common-C;176.7;77.2;16.3;66;129;50;9.1;51;223;26;1
33;Excellent-A;159.5;51.54;24.5;82;123;37.2;23;37;145;28;0
34;Poor-D;172.1;79.5;26.7;91;148;34.7;-2;40;192;30;1
35;Good-B;151.5;52;27.6;77;144;23.8;21.3;39;154;49;0
36;Common-C;177.6;88.6;20.3;93;138;51.5;12.1;54;224;40;1
37;Poor-D;172.5;66.4;12.5;82;130;51.2;6.3;46;178;21;1
38;Excellent-A;177.5;79.5;23;90;148;51.2;18.4;62;208;31;1
39;Excellent-A;178;84.5;21.2;68;130;52.3;16.2;62;232;32;1
40;Poor-D;177.6;79.7;22.8;59;108;48;1.8;59;219;27;1
41;Poor-D;168;61;14.9;94;151;28.9;1;32;230;42;1
42;Poor-D;173.6;84.9;30.3;93;144;42;9;43;185;52;1
43;Common-C;173.3;69.8;23.8;76;137;40;18.2;38;227;39;1
44;Common-C;159.6;60.5;32.1;62;106;21.9;22.2;24;129;33;0
45;Excellent-A;161.8;57.7;21.7;74;115;29.3;26.6;50;190;25;0
46;Poor-D;169.9;73.1;19.2;97;145;45;14.5;37;249;31;1
47;Good-B;183.6;76.82;16.3;80;120;46.3;14.2;55;220;34;1
48;Poor-D;172.1;66.1;24.9;62;102;19.9;-9.9;44;159;26;1
49;Excellent-A;180.1;82.1;15;83;147;52.6;18.8;55;247;28;1
50;Good-B;164.2;64;19.8;93;150;36.8;18.3;38;205;58;1
51;Excellent-A;169.8;75.4;14.7;94;149;51.4;24.7;55;246;48;1
52;Excellent-A;180.1;65.9;14.4;72;130;45.4;18.1;56;234;23;1
53;Common-C;157.2;51.7;27.3;64;106;25.1;14.7;19;139;38;0
54;Good-B;168.3;69.3;31.9;88;139;32.1;20.2;33;164;43;0
55;Poor-D;159.5;51.3;35.8;80;122;16.6;2.1;5;105;21;0
56;Good-B;166.7;56.9;16.5;90;147;41.6;17.8;30;198;56;1
57;Common-C;164.4;66.2;17.1;63;110;40.2;16.2;43;232;24;1
58;Common-C;146.5;46.4;32.9;71;127;18.7;17.4;20;111;58;0
59;Poor-D;174.1;103.1;30.5;78;123;50.7;3.6;25;153;42;1
60;Poor-D;185.4;80;21.9;93;144;46.2;7.1;22;205;45;1
61;Common-C;168.9;78.8;23.4;88;144;42.1;20.9;47;241;37;1
62;Poor-D;175.3;83.6;30.1;93;152;45.9;7.2;55;193;31;1
63;Common-C;164;50.8;22.4;88;124;24;13.5;28;160;43;0
64;Excellent-A;162.4;58.9;29.6;71;119;28.1;25.5;48;178;23;0
65;Good-B;165;63.7;31.4;77;120;20.8;25.5;30;120;59;0
66;Poor-D;166.6;75.5;31.6;62;122;34.1;6.7;17;140;63;1
67;Good-B;174.2;77.6;17.8;85;133;49.5;12.1;48;213;40;1
68;Poor-D;150.5;55.7;39.6;66;114;29.7;13.4;23;159;27;0
69;Good-B;160.2;62.4;33.3;67;103;28.8;20.7;15;133;56;0
70;Excellent-A;179;75;10.7;74;129;47.7;16.6;54;233;35;1
71;Poor-D;172.7;78;26.6;79;140;36.9;3.4;25;218;30;1
72;Common-C;160.2;62.7;30.2;85;140;35.4;9.5;27;184;56;1
73;Excellent-A;171.5;80.5;21.5;86;153;46.7;16.8;53;220;36;1
74;Common-C;175.1;66.5;17.3;85;125;40.4;13.9;31;211;60;1
75;Poor-D;172.2;70.6;24.3;70;118;36.7;9.8;50;213;22;1
76;Poor-D;171.9;78.46;22.9;64;116;43.6;-9.3;46;219;22;1
77;Good-B;174;75.2;18.5;82;142;39.7;20.5;50;224;37;1
78;Poor-D;158.1;53.6;27.63524;70;115;18.9;12.4;17;116;21;0
79;Good-B;170.4;74.3;19.5;82;157;45.6;12.7;54;194;21;1
80;Good-B;158.6;62.7;34.6;80;137;29.3;18.4;12;132;60;0
81;Poor-D;168.5;64.2;26.2;76;108;25.2;23.1;18;164;27;0
82;Excellent-A;156.3;60.5;33.6;79;130;29.6;22.4;23;135;59;0
83;Good-B;157;54.1;26.8;72;117;25.1;18.2;25;157;47;0
84;Excellent-A;161.3;50.6;23.5;69;127;27.5;29.4;39;175;21;0
85;Good-B;177;68.7;18.3;84;140;39.3;11.3;35;220;51;1
86;Good-B;171;66.2;17.3;99;144;48.8;16;49;225;48;1
87;Common-C;170;66.2;18;82;130;39.5;20;39;156;49;1
88;Excellent-A;158.1;51;21.7;86;127;23.1;28.6;46;165;41;0
89;Excellent-A;159;45.5;24.5;85;135;28.5;22.9;57;197;24;0
90;Excellent-A;178.4;79;15.4;73;127;52.7;14.7;68;260;35;1
91;Common-C;156.7;56.3;32.8;78;123;19.7;22.9;28;130;26;0
92;Excellent-A;178.5;78.4;13.8;81;136;51.5;17.1;64;237;35;1
93;Excellent-A;171.2;65.1;11.8;67;127;45.1;22.2;54;239;25;1
94;Good-B;176.4;71.7;17.9;68;130;53.4;24.3;56;210;30;1
95;Good-B;175.4;86.4;19.8;76;135;47.6;20.6;48;213;27;1
96;Excellent-A;166.7;65.7;21.5;90;151;49.6;18.7;54;242;41;1
97;Common-C;158.4;57.2;32;69;134;21.1;18.6;17;136;50;0
98;Common-C;175.8;72;30.4;75;115;34.6;19;54;188;22;1
99;Good-B;173;70.9;19.5;83;135;47.9;11.1;44;162;56;1
100;Poor-D;159.1;52.2;27.2;84;127;22.9;17.9;30;136;46;0
101;Common-C;180.5;79.5;21.7;87;127;42.3;10.8;33;196;44;1
102;Poor-D;162.2;71.5;41.3;75;124;24.9;7;5;120;25;0
103;Excellent-A;156.3;48.6;26.5;73;138;22.8;29.8;41;155;25;0
104;Poor-D;170;59.1;15;71;115;28.3;8.6;15;162;59;1
105;Poor-D;178.4;82.5;30;97;139;39.3;1.9;42;200;30;1
106;Excellent-A;176;67.2;10.8;81;120;47.7;17.2;55;242;24;1
107;Poor-D;168.8;70.9;25.5;83;128;33.7;5.4;33;201;39;1
108;Good-B;170.3;74.6;22;98;151;47.9;14.5;53;170;27;1
109;Excellent-A;172.8;78.8;19.3;87;146;59.8;19.7;59;228;33;1
110;Common-C;163.6;52.4;20.3;72;118;31;23.5;23;130;28;0
111;Good-B;166.2;59.7;21.9;72;118;32.1;15.6;38;165;28;0
112;Excellent-A;179.2;64.7;12.9;88;128;49.7;22.5;46;239;35;1
113;Common-C;177.8;76.4;28.9;82;130;41.1;5.3;38;194;34;1
114;Excellent-A;184.7;84.18;16.3;70;120;48.8;15.3;56;229;35;1
115;Good-B;173.2;73.77;19.5;80;120;50;18.1;59;218;34;1
